"BehaviorSpace results (NetLogo 6.2.1)"
"Attack-vs-giant-component.nlogo"
"evol-ataque"
"03/23/2022 14:17:23:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","num-ataques","tipo-red","num-nodos","[step]","num-comp","max-tam"
"3","aleatorio","50","aleatoria","500","32","32","237"
"8","aleatorio","50","aleatoria","500","43","34","325"
"9","aleatorio","50","aleatoria","500","9","9","410"
"10","aleatorio","50","aleatoria","500","3","3","493"
"3","aleatorio","50","aleatoria","500","33","33","237"
"8","aleatorio","50","aleatoria","500","44","35","321"
"11","aleatorio","50","preferencial","500","0","1","500"
"10","aleatorio","50","aleatoria","500","4","3","492"
"3","aleatorio","50","aleatoria","500","34","34","235"
"8","aleatorio","50","aleatoria","500","45","36","319"
"11","aleatorio","50","preferencial","500","1","1","499"
"9","aleatorio","50","aleatoria","500","10","9","409"
"10","aleatorio","50","aleatoria","500","5","3","491"
"8","aleatorio","50","aleatoria","500","46","36","318"
"3","aleatorio","50","aleatoria","500","35","35","233"
"11","aleatorio","50","preferencial","500","2","1","498"
"9","aleatorio","50","aleatoria","500","11","11","397"
"10","aleatorio","50","aleatoria","500","6","6","483"
"8","aleatorio","50","aleatoria","500","47","36","318"
"3","aleatorio","50","aleatoria","500","36","41","233"
"11","aleatorio","50","preferencial","500","3","1","497"
"10","aleatorio","50","aleatoria","500","7","6","482"
"9","aleatorio","50","aleatoria","500","12","11","396"
"8","aleatorio","50","aleatoria","500","48","36","318"
"10","aleatorio","50","aleatoria","500","8","6","481"
"3","aleatorio","50","aleatoria","500","37","42","231"
"9","aleatorio","50","aleatoria","500","13","14","376"
"11","aleatorio","50","preferencial","500","4","1","496"
"8","aleatorio","50","aleatoria","500","49","36","317"
"10","aleatorio","50","aleatoria","500","9","6","480"
"3","aleatorio","50","aleatoria","500","38","43","231"
"9","aleatorio","50","aleatoria","500","14","14","375"
"11","aleatorio","50","preferencial","500","5","4","492"
"8","aleatorio","50","aleatoria","500","50","37","315"
"10","aleatorio","50","aleatoria","500","10","6","479"
"9","aleatorio","50","aleatoria","500","15","15","375"
"3","aleatorio","50","aleatoria","500","39","43","231"
"10","aleatorio","50","aleatoria","500","11","9","475"
"11","aleatorio","50","preferencial","500","6","4","491"
"9","aleatorio","50","aleatoria","500","16","16","373"
"6","aleatorio","50","aleatoria","500","43","30","285"
"7","aleatorio","50","aleatoria","500","37","30","416"
"10","aleatorio","50","aleatoria","500","12","9","474"
"2","aleatorio","50","aleatoria","500","37","38","266"
"10","aleatorio","50","aleatoria","500","13","11","469"
"12","aleatorio","50","preferencial","500","0","1","500"
"9","aleatorio","50","aleatoria","500","17","16","372"
"2","aleatorio","50","aleatoria","500","38","38","265"
"9","aleatorio","50","aleatoria","500","18","17","369"
"2","aleatorio","50","aleatoria","500","39","38","265"
"6","aleatorio","50","aleatoria","500","44","30","284"
"12","aleatorio","50","preferencial","500","1","1","499"
"7","aleatorio","50","aleatoria","500","38","30","415"
"9","aleatorio","50","aleatoria","500","19","17","369"
"2","aleatorio","50","aleatoria","500","40","38","264"
"6","aleatorio","50","aleatoria","500","45","30","283"
"12","aleatorio","50","preferencial","500","2","1","498"
"7","aleatorio","50","aleatoria","500","39","31","413"
"9","aleatorio","50","aleatoria","500","20","21","359"
"2","aleatorio","50","aleatoria","500","41","38","263"
"6","aleatorio","50","aleatoria","500","46","32","283"
"12","aleatorio","50","preferencial","500","3","1","497"
"9","aleatorio","50","aleatoria","500","21","21","358"
"7","aleatorio","50","aleatoria","500","40","39","367"
"2","aleatorio","50","aleatoria","500","42","38","262"
"6","aleatorio","50","aleatoria","500","47","32","282"
"12","aleatorio","50","preferencial","500","4","1","496"
"9","aleatorio","50","aleatoria","500","22","24","349"
"2","aleatorio","50","aleatoria","500","43","39","260"
"7","aleatorio","50","aleatoria","500","41","40","364"
"11","aleatorio","50","preferencial","500","7","6","488"
"9","aleatorio","50","aleatoria","500","23","24","348"
"12","aleatorio","50","preferencial","500","5","2","494"
"2","aleatorio","50","aleatoria","500","44","41","257"
"11","aleatorio","50","preferencial","500","8","6","487"
"3","aleatorio","50","aleatoria","500","40","44","229"
"9","aleatorio","50","aleatoria","500","24","24","347"
"12","aleatorio","50","preferencial","500","6","3","490"
"2","aleatorio","50","aleatoria","500","45","41","256"
"9","aleatorio","50","aleatoria","500","25","24","346"
"11","aleatorio","50","preferencial","500","9","19","467"
"7","aleatorio","50","aleatoria","500","42","40","363"
"2","aleatorio","50","aleatoria","500","46","41","256"
"12","aleatorio","50","preferencial","500","7","21","403"
"9","aleatorio","50","aleatoria","500","26","24","345"
"11","aleatorio","50","preferencial","500","10","19","466"
"2","aleatorio","50","aleatoria","500","47","42","254"
"7","aleatorio","50","aleatoria","500","43","42","357"
"12","aleatorio","50","preferencial","500","8","21","402"
"9","aleatorio","50","aleatoria","500","27","25","342"
"11","aleatorio","50","preferencial","500","11","19","465"
"2","aleatorio","50","aleatoria","500","48","43","252"
"12","aleatorio","50","preferencial","500","9","21","402"
"7","aleatorio","50","aleatoria","500","44","42","356"
"9","aleatorio","50","aleatoria","500","28","26","342"
"11","aleatorio","50","preferencial","500","12","19","464"
"2","aleatorio","50","aleatoria","500","49","44","250"
"12","aleatorio","50","preferencial","500","10","21","402"
"7","aleatorio","50","aleatoria","500","45","42","356"
"9","aleatorio","50","aleatoria","500","29","26","341"
"11","aleatorio","50","preferencial","500","13","22","458"
"10","aleatorio","50","aleatoria","500","14","11","468"
"2","aleatorio","50","aleatoria","500","50","44","249"
"9","aleatorio","50","aleatoria","500","30","26","341"
"10","aleatorio","50","aleatoria","500","15","12","466"
"11","aleatorio","50","preferencial","500","14","22","457"
"6","aleatorio","50","aleatoria","500","48","33","276"
"9","aleatorio","50","aleatoria","500","31","26","340"
"10","aleatorio","50","aleatoria","500","16","13","466"
"11","aleatorio","50","preferencial","500","15","28","420"
"13","aleatorio","50","preferencial","500","0","1","500"
"6","aleatorio","50","aleatoria","500","49","33","275"
"10","aleatorio","50","aleatoria","500","17","13","465"
"11","aleatorio","50","preferencial","500","16","30","417"
"6","aleatorio","50","aleatoria","500","50","33","275"
"10","aleatorio","50","aleatoria","500","18","13","464"
"11","aleatorio","50","preferencial","500","17","30","417"
"13","aleatorio","50","preferencial","500","1","1","499"
"9","aleatorio","50","aleatoria","500","32","25","340"
"3","aleatorio","50","aleatoria","500","41","44","229"
"7","aleatorio","50","aleatoria","500","46","43","354"
"12","aleatorio","50","preferencial","500","11","21","401"
"11","aleatorio","50","preferencial","500","18","30","417"
"3","aleatorio","50","aleatoria","500","42","43","229"
"9","aleatorio","50","aleatoria","500","33","25","339"
"12","aleatorio","50","preferencial","500","12","21","400"
"11","aleatorio","50","preferencial","500","19","29","417"
"13","aleatorio","50","preferencial","500","2","1","498"
"7","aleatorio","50","aleatoria","500","47","46","354"
"10","aleatorio","50","aleatoria","500","19","14","462"
"9","aleatorio","50","aleatoria","500","34","27","336"
"3","aleatorio","50","aleatoria","500","43","43","228"
"11","aleatorio","50","preferencial","500","20","29","416"
"14","aleatorio","50","preferencial","500","0","1","500"
"12","aleatorio","50","preferencial","500","13","21","399"
"9","aleatorio","50","aleatoria","500","35","28","334"
"11","aleatorio","50","preferencial","500","21","29","415"
"3","aleatorio","50","aleatoria","500","44","46","214"
"7","aleatorio","50","aleatoria","500","48","48","351"
"14","aleatorio","50","preferencial","500","1","2","498"
"12","aleatorio","50","preferencial","500","14","21","398"
"11","aleatorio","50","preferencial","500","22","29","414"
"13","aleatorio","50","preferencial","500","3","2","496"
"10","aleatorio","50","aleatoria","500","20","16","457"
"3","aleatorio","50","aleatoria","500","45","46","214"
"14","aleatorio","50","preferencial","500","2","2","497"
"7","aleatorio","50","aleatoria","500","49","50","346"
"9","aleatorio","50","aleatoria","500","36","31","323"
"10","aleatorio","50","aleatoria","500","21","20","420"
"13","aleatorio","50","preferencial","500","4","6","490"
"3","aleatorio","50","aleatoria","500","46","46","213"
"12","aleatorio","50","preferencial","500","15","24","398"
